Run Date: 27-apr-2014 
Semester: Spring 2014

 
Course	Title	Units	Lec/Sec	Days	Begin	End	Bldg/Room	Location	Instructor(s)
Aerospace Studies-ROTC	 	 	 	 	 	 	 	 	 	 
31102	Foundations of the United States Air Force	3.0	A	W	09:00AM	09:50AM	TBA	Pittsburgh, Pennsylvania	Carter
 	 	 	B	TBA			TBA	Pittsburgh, Pennsylvania	Carter
31105	Air Force Leadership Laboratory	0.0	A	F	07:00AM	08:20AM	GYM THSTL	Pittsburgh, Pennsylvania	Gubitosi
31106	Air Force Leadership Laboratory	0.0	A	F	07:00AM	08:20AM	OFF CAMP	Pittsburgh, Pennsylvania	Gubitosi
31107	Air Force Leadership Laboratory	0.0	A	F	07:00AM	08:20AM	OFF CAMP	Pittsburgh, Pennsylvania	Gubitosi
31108	Air Force Leadership Laboratory	0.0	A	F	07:00AM	08:20AM	OFF CAMP	Pittsburgh, Pennsylvania	Gubitosi
 	 	 	B	TBA			TBA	Pittsburgh, Pennsylvania	Gubitosi
31202	The Evolution of Air and Space Power	3.0	A	W	10:00AM	10:50AM	TBA	Pittsburgh, Pennsylvania	Gubitosi
 	 	 	B	TBA			TBA	Pittsburgh, Pennsylvania	Gubitosi
31302	Air Force Leadership Studies	9.0	A	TBA			TBA	Pittsburgh, Pennsylvania	Pikul
31402	National Security Affairs and Preparation for Active Duty	9.0	A	TBA			TBA	Pittsburgh, Pennsylvania	Gillette
 	 	 	B	TBA			TBA	Pittsburgh, Pennsylvania	Gillette
Architecture	 	 	 	 	 	 	 	 	 	 
48026	First Year Seminar: Architecture Edition II	3.0	A	TR	01:30PM	02:50PM	MM 303	Pittsburgh, Pennsylvania	Workinger
48051	Study Abroad	0.0	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
48095	Spatial Concepts for Non-Architects I	10.0	W	MW	10:30AM	11:50AM	CMB 1030	Doha, Qatar	Hutzell
