Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,
Evaluation Results,,,,,,,,,,,,,,,,,,,,
Here is a breakdown of each mean score for each question.,,,,,,,,,,,,,,,,,,,,
Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 8,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Feedback to students,6: Importance of subject,7: Explains subject matter ,8: Show respect for students,9: Overall teaching,10: Overall course
,2014,,,,Year of 2014,,,227,279,81%,9.5,4.78,4.73,4.8,4.56,4.77,4.77,4.9,4.76,4.64
Spring,2014,"CORTINA, T.",CS,15292,ST HISTORY COMUTNG,A3,Lect,17,22,77%,8,4.71,4.88,4.88,4.06,4.76,4.59,4.88,4.71,4.53
Spring,2014,"DIAS, M.",CS,15302,ST: INNV UNDSRVD COM,A3,Lect,1,3,33%,11,5,5,5,5,5,5,5,5,5
Spring,2014,"KANADE, T.",CS,15385,INTRO COMPUTER VISN,W3,Lect,2,4,50%,5,4.5,4,4,5,5,5,5,5,4.5
Spring,2014,"HARGER, B.",ETC,53712,IMPROV ACTING II,A3,Lect,16,23,70%,2,4.94,4.69,4.75,4.81,4.63,4.88,5,4.94,4.81
Spring,2014,"LEE, E.",ISR,8722,DATA STRCR APPL PRGM,A3,Lect,90,97,93%,11.72,4.82,4.72,4.79,4.58,4.8,4.86,4.9,4.81,4.67
Spring,2014,"MUSSITSCH, J.",ISR,8724,CLIENT-SDE WEB TCHNL,A3,Lect,40,49,82%,9.73,4.78,4.82,4.82,4.63,4.72,4.7,4.88,4.68,4.6
Spring,2014,"SADEH, N.",ISR,8766,MOBL PERVASV COMP SV,A3,Lect,2,5,40%,6.5,5,4.5,5,4.5,5,4.5,5,4.5,4.5
Spring,2014,"SADEH, N.",ISR,8781,MBL PRVSV CMPTNG SRV,A3,Lect,30,39,77%,9.14,4.53,4.6,4.67,4.37,4.63,4.53,4.77,4.53,4.4
Spring,2014,"VU, D.",LTI,11691,SFTWR PLNG & MNGMNT,A3,Lect,6,9,67%,7.5,5,4.83,5,4.33,5,4.83,5,4.83,4.83
Spring,2014,"NEILL, D.",MLG,10830,RSRCH SM MACH LRN PL,A3,Lect,1,3,33%,5,5,5,5,5,5,5,5,5,5
Spring,2014,"ROSSO-LLOPART, M.",SE,17602,INTRO PRSNL SFTWR PR,A3,Lect,2,4,50%,6.5,5,5,5,5,5,5,5,5,5
Spring,2014,"ROSSO-LLOPART, M. (co-taught)",SE,17610,RSK MNGT SFTW IN PRJ,A3,Lect,5,5,100%,7.4,4.8,4.6,5,4.4,5,5,5,5,5
Spring,2014,"ROOT, D. (co-taught)",SE,17610,RSK MNGT SFTW IN PRJ,A3,Lect,5,5,100%,7.4,5,4.8,5,4.8,5,5,5,5,5
Spring,2014,"BASS, M.",SE,17638,SYS ARCH FOR MANAGRS,A3,Lect,10,11,91%,9.9,4.6,4.8,4.8,4.9,4.9,4.7,5,4.8,4.6
,2013,,,,Year of 2013,,,11413,18055,63%,12.48,4.31,4.21,4.23,4.03,4.3,4.2,4.45,4.18,4.14
