Run Date: 10-apr-2014 
Semester: Fall 2014

 
Course	Title	Units	Lec/Sec	Days	Begin	End	Bldg/Room	Location	Instructor(s)
Aerospace Studies-ROTC	 	 	 	 	 	 	 	 	 	 
31101	Foundations of the United States Air Force	3.0	A	W	08:00AM	09:20AM	TBA	Pittsburgh, Pennsylvania	Carter
 	 	 	B	TBA			TBA	Pittsburgh, Pennsylvania	Carter
31105	Air Force Leadership Laboratory	0.0	A	W	06:30AM	08:15AM	OFF PITT	Pittsburgh, Pennsylvania	Gubitosi
31106	Air Force Leadership Laboratory	0.0	A	W	06:30AM	08:15AM	OFF PITT	Pittsburgh, Pennsylvania	Gubitosi
31107	Air Force Leadership Laboratory	0.0	A	W	06:30AM	08:30AM	OFF PITT	Pittsburgh, Pennsylvania	Gubitosi
31108	Air Force Leadership Laboratory	0.0	A	W	06:30AM	08:30AM	OFF PITT	Pittsburgh, Pennsylvania	Gubitosi
31201	The Evolution of Air and Space Power	3.0	A	W	09:30AM	10:20AM	TBA	Pittsburgh, Pennsylvania	Gubitosi
 	 	 	B	TBA			TBA	Pittsburgh, Pennsylvania	Gubitosi
31301	Air Force Leadership Studies	9.0	A	TR	08:00AM	09:20AM	TBA	Pittsburgh, Pennsylvania	Pikul
 	 	 	B	TBA			TBA	Pittsburgh, Pennsylvania	Pikul
31401	National Security Affairs and Preparation for Active Duty	9.0	A	M	08:00AM	10:50AM	TBA	Pittsburgh, Pennsylvania	Gillette
 	 	 	B	TBA			TBA	Pittsburgh, Pennsylvania	Gillette
Architecture	 	 	 	 	 	 	 	 	 	 
48025	First Year Seminar: Architecture Edition I	3.0	A	TR	01:30PM	02:50PM	MM 303	Pittsburgh, Pennsylvania	Workinger
48050	Study Abroad	0.0	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
48095	Spatial Concepts for Non-Architects I	10.0	A	TR	01:30PM	04:20PM	MM 321	Pittsburgh, Pennsylvania	Barbuto
48100	Architecture Design Studio: Foundation I	12.0	Lec	W	01:30PM	02:50PM	MM 103	Pittsburgh, Pennsylvania	Damiani
 	 	 	A	MWF	01:30PM	04:20PM	MM 320	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	B	MWF	01:30PM	04:20PM	MM 320	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	C	MWF	01:30PM	04:20PM	MM 320	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	D	MWF	01:30PM	04:20PM	MM 320	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	E	MWF	01:30PM	04:20PM	MM 320	Pittsburgh, Pennsylvania	Instructor TBA
48116	Building Physics	9.0	A	TR	10:30AM	11:50AM	MM 103	Pittsburgh, Pennsylvania	Lam
48120	Digital Media I	6.0	A	T	09:00AM	10:20AM	HL CLSTR	Pittsburgh, Pennsylvania	Brockmeyer
 	 	 	B	R	09:00AM	10:20AM	HL CLSTR	Pittsburgh, Pennsylvania	Brockmeyer
48121	Analog Drawing I	6.0	A1	M	10:30AM	11:20AM	MM 103	Pittsburgh, Pennsylvania	Damiani
 	 	 	 	WF	10:30AM	11:20AM	MM 312	Pittsburgh, Pennsylvania
 	 	 	B1	M	10:30AM	11:20AM	MM 103	Pittsburgh, Pennsylvania	Damiani
 	 	 	 	WF	10:30AM	11:20AM	MM 312	Pittsburgh, Pennsylvania
 	 	 	C1	M	10:30AM	11:20AM	MM 103	Pittsburgh, Pennsylvania	Damiani
 	 	 	 	WF	10:30PM	11:20PM	MM 312	Pittsburgh, Pennsylvania
 	 	 	D1	M	10:30AM	11:20AM	MM 103	Pittsburgh, Pennsylvania	Damiani
 	 	 	 	WF	10:30AM	11:20AM	MM 312	Pittsburgh, Pennsylvania
 	 	 	E1	M	10:30AM	11:20AM	MM 103	Pittsburgh, Pennsylvania	Damiani
 	 	 	 	WF	10:30AM	11:20AM	MM 312	Pittsburgh, Pennsylvania
48200	Architecture Design Studio: Composition I	18.0	Lec	M	01:30PM	02:50PM	MM 103	Pittsburgh, Pennsylvania	Bard
 	 	 	A	MW	12:30PM	04:20PM	MM 312	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	B	MW	12:30PM	04:20PM	MM 312	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	C	MW	12:30PM	04:20PM	MM 312	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	D	MW	12:30PM	04:20PM	MM 312	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	E	MW	12:30PM	04:20PM	MM 312	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	F	MW	12:30PM	04:20PM	MM 312	Pittsburgh, Pennsylvania	Instructor TBA
48241	Modern Architecture	9.0	A	MWF	10:30AM	11:20AM	MM A14	Pittsburgh, Pennsylvania	Gutschow
 	 	 	 	R	06:30PM	08:20PM	MM 303	Pittsburgh, Pennsylvania
48250	Context	9.0	A	TR	01:30PM	02:50PM	MM 103	Pittsburgh, Pennsylvania	Quick
48257	Introduction to Computing for Creative Practices	10.0	A	MWF	09:30AM	10:20AM	PH A18A	Pittsburgh, Pennsylvania	Roberts
 	 	 	 	R	12:00PM	01:20PM	WEH 5202	Pittsburgh, Pennsylvania
48300	Architecture Design Studio: Integration I	18.0	Lec	MW	01:30PM	02:50PM	MM A14	Pittsburgh, Pennsylvania	Cupkova
 	 	 	A	MW	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	B	MW	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	C	MW	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	D	MW	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	F	MWF	01:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Instructor TBA
48315	Environment I: Climate & Energy	9.0	A	TR	03:00PM	04:20PM	MM A14	Pittsburgh, Pennsylvania	Loftness
48324	Structures/Statics	9.0	A	TR	01:30PM	02:50PM	MM A14	Pittsburgh, Pennsylvania	Oppenheim
48341	Theory & Expression in Architecture	9.0	A	W	06:30PM	09:20PM	CFA 102	Pittsburgh, Pennsylvania	Gutschow
48348	Architectural History of Mexico & Guatemala	9.0	A	TR	10:30AM	11:50AM	CFA 102	Pittsburgh, Pennsylvania	Shaw
48354	Nano Course	9.0	A	T	01:30PM	04:20PM	CFA 213	Pittsburgh, Pennsylvania	Arscott
48357	Anatomy and Organic Form	9.0	A	R	09:00AM	11:50AM	MM 303	Pittsburgh, Pennsylvania	Cooper
48371	American House and Housing	9.0	A	TR	03:00PM	04:20PM	CFA 102	Pittsburgh, Pennsylvania	Shaw
 	 	 	B	R	01:30PM	02:50PM	DNM DNM	Pittsburgh, Pennsylvania	Shaw
48373	Istanbul Constantinople	9.0	A	T	09:00AM	11:50AM	CFA 206A	Pittsburgh, Pennsylvania	Torello
48400	Architecture Design Studio: Computational Design	18.0	Lec	F	01:30PM	02:50PM	MM A14	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	A	WF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Ficca
48401	Architecture Design Studio: Sustainable Design	18.0	A	MWF	01:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Instructor TBA
48402	Architecture Design Studio: Urban Laboratory	18.0	A	WF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Instructor TBA
48403	Architecture Design Studio: Critical Practice	18.0	A	WF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Instructor TBA
48404	Architecture Design Studio: Urban Design Build	18.0	A	WF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Instructor TBA
48405	Architecture Design Studio: Speculative	18.0	A	WF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Instructor TBA
48406	Architecture Design Studio: Furniture	18.0	A	WF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Smith
48431	Bio Logic Responsive Building Technology	9,12	A	TR	06:30PM	07:50PM	CFA 213	Pittsburgh, Pennsylvania	Clifford
48432	Environment II: Mechanical Systems	9.0	A	TR	09:00AM	10:20AM	MM 103	Pittsburgh, Pennsylvania	Mattern
48452	Real Estate Design and Development	6.0	A2	TR	12:00PM	01:20PM	MM A14	Pittsburgh, Pennsylvania	Mingo
48453	Urban Design Methods	6.0	A1	TR	12:00PM	01:20PM	MM A14	Pittsburgh, Pennsylvania	El Samahy
48454	Futures of the City/Cities of the Future	9.0	A	TR	06:30PM	09:20PM	CFA 206A	Pittsburgh, Pennsylvania	Instructor TBA
48470	Exploring Pattern Through Lamination	6.0	A1	TR	10:30AM	11:50AM	CFA SHOP	Pittsburgh, Pennsylvania	Smith
48473	Hand and Machine Joinery, New Directions	6.0	A2	TR	10:30AM	11:50AM	CFA SHOP	Pittsburgh, Pennsylvania	Smith
48478	Digital Tooling	6.0	A2	MW	10:30AM	11:50AM	MM C4	Pittsburgh, Pennsylvania	Ali
48500	Architecture Design Studio: Computational Design	18.0	Lec	F	01:30PM	02:50PM	MM 103	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	A	WF	12:30PM	04:20PM	CFA 214	Pittsburgh, Pennsylvania	Ficca
48501	Architecture Design Studio: Sustainable Design	18.0	A	MWF	01:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Hayes
